,Common Values,Drug 1 total substructures,Drug 2 total substructures,interaction
0,2890,0,0,5
1,2884,0,6,7
2,2881,0,9,1
3,2838,0,52,1
4,2757,0,133,5
5,2866,0,24,5
6,2836,0,54,5
7,2890,0,0,5
8,2804,0,86,5
9,2855,0,35,6
10,2836,0,54,5
11,2852,0,38,5
12,2828,0,62,5
13,2890,0,0,5
14,2890,0,0,5
15,2890,0,0,5
16,2630,0,260,7
17,2870,0,20,7
18,2873,0,17,5
19,2881,0,9,5
20,2817,0,73,5
21,2808,0,82,7
22,2843,0,47,5
23,2852,0,38,5
24,2851,0,39,5
25,2841,0,49,7
26,2820,0,70,5
27,2890,0,0,5
28,2808,0,82,5
29,2890,0,0,5
30,2855,0,35,1
31,2883,0,7,1
32,2890,0,0,7
33,2816,0,74,5
34,2890,0,0,5
35,2884,0,6,5
36,2859,0,31,5
37,2842,0,48,1
38,2819,0,71,7
39,2854,0,36,5
40,2890,0,0,5
41,2865,0,25,7
42,2889,0,1,5
43,2711,0,179,7
44,2855,0,35,7
45,2810,0,80,5
46,2885,0,5,5
47,2661,0,229,7
48,2674,0,216,7
49,2876,0,14,5
50,2829,0,61,5
51,2890,0,0,5
52,2721,0,169,1
53,2781,0,109,5
54,2845,0,45,5
55,2847,0,43,5
56,2851,0,39,5
57,2863,0,27,5
58,2889,0,1,5
59,2855,0,35,7
60,2857,0,33,5
61,2789,0,101,7
62,2866,0,24,7
63,2817,0,73,5
64,2890,0,0,5
65,2890,0,0,5
66,2861,0,29,1
67,2849,0,41,5
68,2814,0,76,5
69,2847,0,43,5
70,2890,0,0,7
71,2890,0,0,3
72,2837,0,53,6
73,2890,0,0,7
74,2808,0,82,7
75,2890,0,0,5
76,2890,0,0,5
77,2879,0,11,7
78,2843,0,47,5
79,2883,0,7,5
80,2850,0,40,5
81,2778,0,112,7
82,2837,0,53,5
83,2719,0,171,7
84,2821,0,69,7
85,2845,0,45,7
86,2831,0,59,1
87,2890,0,0,7
88,2882,0,8,5
89,2815,0,75,5
90,2879,0,11,7
91,2805,0,85,1
92,2885,0,5,5
93,2666,0,224,7
94,2874,0,16,7
95,2890,0,0,5
96,2887,0,3,5
97,2829,0,61,5
98,2851,0,39,5
99,2890,0,0,5
100,2817,0,73,7
101,2847,0,43,5
102,2712,0,178,5
103,2868,0,22,1
104,2856,0,34,5
105,2889,0,1,5
106,2844,0,46,5
107,2852,0,38,1
108,2870,0,20,5
109,2888,0,2,5
110,2830,0,60,5
111,2860,0,30,7
112,2889,0,1,5
113,2835,0,55,5
114,2890,0,0,5
115,2866,0,24,5
116,2869,0,21,5
117,2817,0,73,5
118,2890,0,0,5
119,2845,0,45,7
120,2877,0,13,5
121,2852,0,38,5
122,2676,0,214,5
123,2751,0,139,7
124,2890,0,0,5
125,2889,0,1,5
126,2812,0,78,5
127,2845,0,45,5
128,2769,0,121,5
129,2823,0,67,7
130,2866,0,24,5
131,2866,0,24,5
132,2875,0,15,7
133,2660,0,230,7
134,2849,0,41,5
135,2845,0,45,7
