,Common Values,Drug 1 total substructures,Drug 2 total substructures
0,2890,0.0,0.0
1,2884,0.0,6.0
2,2881,0.0,9.0
3,2838,0.0,52.0
4,2757,0.0,133.0
5,2866,0.0,24.0
6,2836,0.0,54.0
7,2890,0.0,0.0
8,2804,0.0,86.0
9,2855,0.0,35.0
10,2836,0.0,54.0
11,2852,0.0,38.0
12,2828,0.0,62.0
13,2890,0.0,0.0
14,2890,0.0,0.0
15,2890,0.0,0.0
16,2630,0.0,260.0
17,2870,0.0,20.0
18,2873,0.0,17.0
19,2881,0.0,9.0
20,2817,0.0,73.0
21,2808,0.0,82.0
22,2843,0.0,47.0
23,2852,0.0,38.0
24,2851,0.0,39.0
25,2841,0.0,49.0
26,2820,0.0,70.0
27,2890,0.0,0.0
28,2808,0.0,82.0
29,2890,0.0,0.0
30,2855,0.0,35.0
31,2883,0.0,7.0
32,2890,0.0,0.0
33,2816,0.0,74.0
34,2890,0.0,0.0
35,2884,0.0,6.0
36,2859,,
37,2842,0.0,31.0
38,2819,0.0,48.0
39,2854,0.0,71.0
40,2890,0.0,36.0
41,2865,0.0,0.0
42,2889,0.0,25.0
43,2711,0.0,1.0
44,2855,0.0,179.0
45,2810,0.0,35.0
46,2885,0.0,80.0
47,2661,0.0,5.0
48,2674,0.0,229.0
49,2876,0.0,216.0
50,2829,0.0,14.0
51,2890,0.0,61.0
52,2721,0.0,0.0
53,2781,0.0,169.0
54,2845,0.0,109.0
55,2847,0.0,45.0
56,2851,0.0,43.0
57,2863,0.0,39.0
58,2889,0.0,27.0
59,2855,0.0,1.0
60,2857,0.0,35.0
61,2789,0.0,33.0
62,2866,0.0,101.0
63,2817,0.0,24.0
64,2890,0.0,73.0
65,2890,0.0,0.0
66,2861,0.0,0.0
67,2849,0.0,29.0
68,2814,0.0,41.0
69,2847,0.0,76.0
70,2890,0.0,43.0
71,2890,0.0,0.0
72,2837,0.0,0.0
73,2890,0.0,53.0
74,2808,0.0,0.0
75,2890,0.0,82.0
76,2890,0.0,0.0
77,2879,0.0,0.0
78,2843,0.0,11.0
79,2883,0.0,47.0
80,2850,0.0,7.0
81,2778,0.0,40.0
82,2837,0.0,112.0
83,2719,0.0,53.0
84,2821,0.0,171.0
85,2845,0.0,69.0
86,2831,0.0,45.0
87,2890,0.0,59.0
88,2882,0.0,0.0
89,2815,0.0,8.0
90,2879,0.0,75.0
91,2805,,
92,2885,0.0,11.0
93,2666,0.0,85.0
94,2874,0.0,5.0
95,2890,0.0,224.0
96,2887,0.0,16.0
97,2829,0.0,0.0
98,2851,0.0,3.0
99,2890,0.0,61.0
100,2817,0.0,39.0
101,2847,0.0,0.0
102,2712,0.0,73.0
103,2868,0.0,43.0
104,2856,0.0,178.0
105,2889,0.0,22.0
106,2844,0.0,34.0
107,2852,0.0,1.0
108,2870,0.0,46.0
109,2888,0.0,38.0
110,2830,0.0,20.0
111,2860,0.0,2.0
112,2889,0.0,60.0
113,2835,0.0,30.0
114,2890,0.0,1.0
115,2866,0.0,55.0
116,2869,0.0,0.0
117,2817,0.0,24.0
118,2890,0.0,21.0
119,2845,0.0,73.0
120,2877,0.0,0.0
121,2852,0.0,45.0
122,2676,0.0,13.0
123,2751,0.0,38.0
124,2890,0.0,214.0
125,2889,,
126,2812,0.0,139.0
127,2845,0.0,0.0
128,2769,0.0,1.0
129,2823,,
130,2866,0.0,78.0
131,2866,0.0,45.0
132,2875,0.0,121.0
133,2660,0.0,67.0
134,2849,0.0,24.0
135,2845,0.0,24.0
136,2863,0.0,15.0
137,2653,0.0,230.0
138,2888,0.0,41.0
139,2881,0.0,45.0
140,2890,0.0,27.0
141,2890,0.0,237.0
142,2877,0.0,2.0
143,2832,0.0,9.0
144,2853,0.0,0.0
145,2674,0.0,0.0
146,2845,0.0,13.0
147,2890,0.0,58.0
148,2889,0.0,37.0
149,2889,0.0,216.0
150,2838,0.0,45.0
151,2862,0.0,0.0
152,2845,0.0,1.0
153,2854,0.0,1.0
154,2864,0.0,52.0
155,2859,0.0,28.0
156,2890,0.0,45.0
157,2871,0.0,36.0
158,2856,0.0,26.0
159,2870,0.0,31.0
160,2726,0.0,0.0
161,2827,0.0,19.0
162,2887,0.0,34.0
